position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Leicester,38,23,12,3,68,36,81,68.416034,0.41603399999999624,58.520866999999996,45.01995399999999,9.019953999999991,41.97527399999999,16.545593,10.099470860074694,8.602384307326625,217,275,68.9442,-12.055800000000005
2,Arsenal,38,20,11,7,65,36,71,73.53092799999999,8.530927999999989,72.00859299999999,33.8574794,-2.1425205999999974,33.0963134,38.9122796,8.785488141260954,12.218744440189766,467,192,77.00869999999999,6.00869999999999
3,Tottenham,38,19,13,6,69,35,70,63.41936199999999,-5.5806380000000075,59.613555999999996,37.080929,2.0809289999999976,35.558639,24.054917,6.677874617248266,11.690425452837243,255,182,69.4262,-0.5738000000000056
4,Manchester United,38,19,9,10,49,35,66,45.42421100000001,-3.5757889999999932,43.140710000000006,39.65582200000001,4.655822000000008,38.13348400000001,5.007226000000001,8.065414944805765,12.422403298662495,272,198,56.42940000000001,-9.570599999999992
5,Manchester City,38,19,9,10,71,41,66,66.19736,-4.802639999999997,60.107996,37.469231,-3.5307689999999994,36.708095,23.399901000000003,8.187992646860565,13.828686092184109,379,149,70.13600000000001,4.13600000000001
6,Southampton,38,18,9,11,59,41,63,56.201605,-2.7983949999999993,53.085010000000004,44.291608999999994,3.291608999999994,43.530441999999994,9.554568,9.649278779400706,12.629054563868499,276,194,61.076299999999996,-1.9237000000000037
7,West Ham,38,16,14,8,65,51,62,54.40056700000001,-10.59943299999999,51.355889000000005,55.478656999999984,4.478656999999984,49.38931099999999,1.9665779999999997,9.667072249799233,9.468405177828751,212,260,49.8002,-12.199800000000003
8,Liverpool,38,16,12,10,63,50,60,54.36566200000001,-8.634337999999993,52.843324,37.8828599,-12.1171401,35.5274469,17.315877099999998,7.915810659939249,11.826111301753329,373,158,63.2906,3.2905999999999977
9,Stoke,38,14,9,15,41,55,51,42.626573,1.6265730000000005,38.820803,54.349917000000005,-0.6500829999999951,50.54411100000001,-11.723308,10.781819212366425,10.23129191411545,179,257,48.30089999999999,-2.6991000000000085
10,Chelsea,38,12,14,12,59,53,50,54.479718999999996,-4.520281000000004,50.673879,44.626242,-8.373758000000002,41.581565,9.092314000000002,9.182035044199774,10.728803005062735,354,194,59.6233,9.6233
11,Swansea,38,12,11,15,42,52,47,39.958642,-2.0413580000000024,36.152798,53.634229000000005,1.6342290000000048,52.11189100000001,-15.959093,10.461628263140213,11.532582681920484,188,254,42.399899999999995,-4.600100000000005
12,Everton,38,11,14,13,59,55,47,53.981071899999996,-5.018928100000004,50.1752719,54.74880399999999,-0.2511960000000073,50.181785999999995,-0.006514100000000855,12.466180236401305,10.779556877579799,256,304,52.69149999999999,5.691499999999991
13,Watford,38,12,9,17,40,50,45,43.199636999999996,3.1996369999999956,37.87145199999999,51.851501,1.851500999999999,45.744509,-7.873056999999999,9.863686054034366,8.335105366131378,193,241,48.2545,3.2545
14,West Bromwich Albion,38,10,13,15,34,48,43,39.752870300000005,5.752870300000005,35.9293973,51.93684600000001,3.93684600000001,47.369827,-11.440429700000003,12.340651837171295,7.945136041517219,168,256,42.3035,-0.6965000000000003
15,Crystal Palace,38,11,9,18,39,51,42,42.507670000000005,3.5076700000000045,38.701821,52.93888400000001,1.9388840000000087,49.894244,-11.192422999999998,9.325103236035579,8.56500717089333,161,306,44.8943,2.894300000000001
16,Bournemouth,38,11,9,18,45,67,42,38.705838,-6.294162,35.66115400000001,53.968709,-13.031291000000003,49.401695999999994,-13.740542000000001,9.578405587566193,10.792962965632038,199,216,43.7692,1.7691999999999979
17,Sunderland,38,9,12,17,48,62,39,40.517172,-7.482827999999998,38.233664000000005,58.8502223,-3.1497777000000013,52.760878299999995,-14.5272143,12.603121508943918,8.205901061170623,188,312,40.5241,1.5240999999999971
18,Newcastle United,38,9,10,19,44,65,37,37.605660400000005,-6.394339599999995,35.322165399999996,55.4230604,-9.576939600000003,51.6172134,-16.295048,12.389467657408057,8.027511230933117,154,294,40.2114,3.2113999999999976
19,Norwich,38,9,7,22,39,67,34,39.187494,0.18749400000000094,38.426328,58.93060700000001,-8.069392999999991,51.31894200000001,-12.892613999999998,12.998479691003197,9.060642139166243,182,267,39.1777,5.1777000000000015
20,Aston Villa,38,3,8,27,27,76,17,26.527059400000002,-0.4729405999999976,25.0047174,59.009573,-16.990426999999997,55.203728,-30.1990106,13.835949475203492,7.984215614090003,136,300,29.8076,12.8076
