position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Manchester City,38,32,2,4,95,23,98,93.720559,-1.2794410000000056,90.67587999999999,25.732604100000003,2.732604100000003,22.687925100000005,67.98795489999999,8.526163727355268,30.46811259810453,582,135,90.64059999999999,-7.359400000000008
2,Liverpool,38,30,7,1,89,22,97,79.45754000000002,-9.542459999999977,74.12936,29.145104999999997,7.145104999999997,28.383936,45.74542399999999,10.959870865746092,22.161375690580364,431,152,83.4541,-13.545900000000003
3,Chelsea,38,21,9,8,63,39,72,63.968004,0.9680040000000005,60.162158,38.107687000000006,-0.8923129999999944,36.447257,23.714901,10.650182661297576,15.995166726004902,376,188,71.45099999999998,-0.5490000000000208
4,Tottenham,38,23,2,13,67,39,71,61.746657000000006,-5.253342999999994,58.70202,49.146068,10.146068,45.34022,13.361799999999999,9.90848208787457,17.680093699619132,270,202,61.43999999999999,-9.56000000000001
5,Arsenal,38,21,7,10,73,51,70,64.795372,-8.204628,60.989521,57.2974875,6.297487500000003,51.9693395,9.020181500000003,10.080325377078491,13.944289085235267,400,253,58.9713,-11.0287
6,Manchester United,38,19,9,10,65,54,66,68.61749799999998,3.6174979999999834,59.375862000000005,52.30019,-1.6998099999999994,47.733182000000006,11.64268,11.073851102868893,14.433334468656627,313,268,61.85960000000001,-4.1403999999999925
7,Wolverhampton Wanderers,38,16,9,13,47,46,57,53.058691599999996,6.058691599999996,50.0140156,42.691294,-3.308706000000001,39.646622,10.367393600000002,15.863031190347197,12.292937802483706,184,220,59.91450000000001,2.914500000000011
8,Everton,38,15,9,14,54,46,54,53.86613399999999,-0.1338660000000118,49.922343999999995,49.3097899,3.3097898999999984,45.3963069,4.5260371,10.259641140308235,10.972068436971487,211,210,55.53779999999999,1.53779999999999
9,West Ham,38,15,7,16,52,55,52,47.9605279,-4.039472099999998,44.15483690000001,65.662023,10.662023000000005,61.856183,-17.7013461,13.315241395849933,10.406222991286182,261,293,43.7194,-8.2806
10,Leicester,38,15,7,16,51,48,52,52.114153,1.1141530000000017,46.785979,44.642585000000004,-3.357414999999996,40.83674900000001,5.949230000000002,12.790205225969682,11.480872856407972,205,253,56.2378,4.2378
11,Watford,38,14,8,16,52,59,50,51.73354600000001,-0.26645399999998887,50.972376000000004,63.291171,4.2911709999999985,59.48532300000001,-8.512947,12.497500664608387,10.361421707280272,275,264,46.0015,-3.9985
12,Crystal Palace,38,14,7,17,51,53,49,50.642165999999996,-0.357834000000004,42.269351,52.80428500000001,-0.19571499999999276,48.998432,-6.729081000000002,15.408263149673393,9.201229984572498,256,261,51.92549999999999,2.9254999999999924
13,Newcastle United,38,12,9,17,42,48,45,39.9106505,-2.0893494999999973,37.6271415,57.545492,9.545492000000003,52.978485,-15.3513435,14.721739818393583,10.545337655498406,178,305,39.2231,-5.776899999999998
14,Bournemouth,38,13,6,19,56,70,45,58.812899,2.8128990000000016,51.96237899999999,62.423162,-7.576838000000002,58.617413000000006,-6.655034000000003,17.27589757710997,10.752280518848501,280,313,51.4947,6.494700000000002
15,Burnley,38,11,7,20,45,68,40,44.74121590000001,-0.25878409999999263,43.218915900000006,66.122065,-1.8779349999999937,63.838595000000005,-20.619679100000003,14.485418849050815,10.630246321421213,193,315,41.9982,1.998199999999997
16,Southampton,38,9,12,17,45,65,39,49.671325,4.671325000000003,45.86548,59.27171400000001,-5.72828599999999,56.988214000000006,-11.122734000000001,12.041886370515885,10.886729318778977,206,300,45.1075,6.107500000000002
17,Brighton,38,9,9,20,35,60,36,37.02786799999999,2.027867999999991,32.460844,62.462145,2.4621449999999996,54.850534,-22.38969,15.008271843371107,11.455870375765915,153,321,36.186,0.18599999999999994
18,Cardiff,38,10,4,24,34,69,34,41.76972659999999,7.769726599999991,38.725067599999996,66.503167,-2.496832999999995,61.17497600000001,-22.4499084,18.462972720768516,6.019176202017512,143,357,37.44920000000001,3.449200000000012
19,Fulham,38,7,5,26,34,81,26,42.621863999999995,8.621863999999995,40.338362,73.58661,-7.413390000000007,68.25855999999999,-27.920198,16.566611432665667,12.02167746126583,171,335,33.6044,7.604399999999998
20,Huddersfield,38,3,7,28,22,76,16,29.002263000000003,7.002263000000003,28.241098,67.194016,-8.805983999999995,61.104739,-32.863641,12.825775161703007,11.01288846175696,133,276,29.610599999999998,13.610599999999998
