position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Manchester City,38,32,4,2,106,27,100,91.43414500000002,-14.565854999999985,85.123985,24.511917699999994,-2.4880823000000056,22.989619699999995,62.13436530000001,6.7078121419915675,28.897068288668994,541,96,91.0893,-8.910700000000006
2,Manchester United,38,25,6,7,68,28,81,59.04341199999999,-8.95658800000001,56.631119,43.540152000000006,15.540152000000006,42.778982000000006,13.852137,10.565642595295738,14.153926099562703,319,243,62.3307,-18.6693
3,Tottenham,38,23,8,7,74,36,77,68.911894,-5.088105999999996,66.628384,35.859432999999996,-0.14056700000000433,33.476814,33.15157,8.046219158880145,17.19392017025325,339,162,76.0162,-0.9838000000000022
4,Liverpool,38,21,12,5,84,38,75,77.48511900000001,-6.514880999999988,75.183319,35.751620700000004,-2.2483792999999963,31.1846147,43.9987043,10.410387517267777,23.561771163978104,436,148,79.3848,4.3847999999999985
5,Chelsea,38,21,7,10,62,38,70,59.160689,-2.839311000000002,56.877219000000004,34.034713700000005,-3.9652862999999954,32.5123747,24.3648443,14.886178192640998,14.098109904535779,373,220,68.45700000000001,-1.5429999999999922
6,Arsenal,38,19,6,13,74,51,63,72.26933500000001,-1.7306649999999877,68.463486,48.745316,-2.2546839999999975,44.178293,24.285193,9.584708914993932,17.635081011039908,488,203,65.8991,2.8991000000000042
7,Burnley,38,14,12,12,36,39,54,32.771712,-3.228287999999999,32.771712,52.156891,13.156891000000002,48.351043000000004,-15.579331000000003,14.797303188875773,10.584040244023258,162,305,41.00169999999999,-12.998300000000008
8,Everton,38,13,10,15,44,58,49,43.707511,-0.29248900000000333,37.50187199999999,55.495771999999995,-2.504228000000005,51.69000299999999,-14.188130999999998,10.952973629356514,11.010696879919056,185,297,47.00149999999999,-1.998500000000007
9,Leicester,38,12,11,15,56,60,47,50.2887137,-5.711286299999998,45.7217407,49.358723,-10.641277000000002,46.314037,-0.592296299999999,12.774865694759631,10.123776059035317,183,268,55.854700000000015,8.854700000000015
10,Crystal Palace,38,11,11,16,45,55,44,56.749704,11.749704000000001,49.138176,53.53526899999999,-1.4647310000000076,52.01293299999999,-2.8747570000000016,12.478397437828034,8.617741525018115,247,269,58.034499999999994,14.034499999999994
11,Bournemouth,38,11,11,16,45,61,44,39.99186,-5.008139999999997,37.708349,64.93249,3.9324900000000014,62.64902,-24.940671000000002,17.059263015965545,9.736076132665064,245,339,37.64039999999999,-6.3596000000000075
12,Newcastle United,38,12,8,18,39,47,44,44.625608,5.625608,43.86443799999999,52.47236400000001,5.472364000000013,47.75404200000001,-3.8896040000000003,14.17395270888467,8.83467527079099,171,287,46.238000000000014,2.2380000000000138
13,West Ham,38,10,12,16,48,68,42,36.80133,-11.19867,33.75665299999999,58.36886899999998,-9.631131000000018,53.70596199999999,-19.949309000000003,13.536258654487478,8.8375115523566,173,308,39.25920000000001,-2.740799999999993
14,Watford,38,11,8,19,44,64,41,45.847429,1.8474289999999982,41.129107,53.981190999999995,-10.018809000000005,49.414176,-8.285069,11.349030609881249,10.876684192218015,232,237,46.6939,5.693899999999999
15,Brighton,38,9,13,16,34,54,40,37.21441649999999,3.2144164999999916,31.8862345,53.08380100000001,-0.9161989999999918,50.80029900000001,-18.914064500000002,19.517768296666073,12.624331768203337,159,291,40.84720000000001,0.847200000000008
16,Huddersfield,38,9,10,19,28,58,37,32.1338432,4.133843200000001,30.611543200000003,53.216161,-4.783839,48.502149,-17.8906058,13.613523817938411,10.901830215381901,125,251,36.84320000000001,-0.15679999999998984
17,Southampton,38,7,15,16,37,56,36,41.880147,4.880147000000001,39.596638,46.555426999999995,-9.444573000000005,45.033091,-5.436453000000001,10.136473716762742,12.386475630244922,225,277,48.715700000000005,12.715700000000005
18,Stoke,38,7,12,19,35,68,33,36.754259000000005,1.7542590000000047,34.470754,65.54098400000001,-2.459015999999991,61.735175999999996,-27.264421999999996,16.877042179664556,8.427139623303823,189,315,36.1678,3.1677999999999997
19,Swansea,38,8,9,21,28,56,33,29.7130847,1.7130846999999996,28.9519147,61.833603999999994,5.833603999999994,57.12450099999999,-28.172586300000003,17.52209764775331,11.987337553582778,148,301,32.307100000000005,-0.6928999999999945
20,West Bromwich Albion,38,6,13,19,31,56,31,35.184401,4.184401000000001,34.423230000000004,48.993914000000004,-7.006085999999996,48.232744,-13.809514,14.579126129001635,9.080831964113832,140,263,42.9637,11.963700000000003
